City,Latitude,Longitude
Agra,27.17667,78.008072
Ahmedabad,23.033863,72.585022
Allahabad,25.473034,81.878357
Amritsar,31.63398,74.872261
Anantapur,14.685564,77.595406
Asansol,23.673944,86.952393
Balasore,21.494978,86.942657
Bangalore,12.972442,77.580643
Belgaum,15.852792,74.498703
Bhagalpur,25.253391,86.989059
Bhopal ,23.259933,77.412613
Chandigarh,30.741482,76.768066
Chennai,13.067439,80.237617
Coimbatore,11.004556,76.961632
Cuttack,20.462521,85.882988
Dalhousie,32.5387,75.971
Darbhanga,26.152973,85.901413
Darjeeling,27.036007,88.262672
Dehradun,30.321915,78.026619
Delhi,28.6448,77.216721
Dibrugarh,27.472834,94.911964
Durgapur,23.5204,87.3119
Etawah,26.811712,79.004692
Gangtok,27.338936,88.606506
Ghaziabad,28.667856,77.449791
Gurgaon,28.457523,77.026344
Guwahati,26.148043,91.731377
Gwalior,26.218287,78.182831
Hyderabad,17.38714,78.491684
Indore,22.719568,75.857727
Jaipur,26.92207,75.778885
Jalandhar,31.326015,75.57618
Jalgaon,21.004194,75.563942
Jammu,32.732998,74.864273
Jamnagar,22.470701,70.057732
Jamshedpur,22.805618,86.20311
Kangra,32.099804,76.269104
Kannur,11.874477,75.370369
Kanpur,26.449923,80.331871
Kochi,9.939093,76.270523
Kolkata,22.572645,88.363892
Kurukshetra,29.9695,76.8783
Lucknow,26.8467,80.9462
Ludhiana,30.900965,75.857277
Madurai,9.939093,78.121719
Malegaon,20.560797,74.52507
Manali,32.239632,77.188713
Mangaluru,12.915605,74.855965
Meerut,28.984644,77.705956
Mumbai,18.929863,72.833427
Nagpur,21.146633,79.08886
Noida,28.535517,77.391029
Ongole,15.505723,80.049919
Patna,25.612677,85.158875
Phagwara,31.22402,75.770798
Pondicherry,11.916064,79.812325
Pune,18.516726,73.856255
Raichur,16.200829,77.362289
Raipur,21.2514,81.6296
Ranchi,23.344101,85.309563
Rohtak,28.895515,76.606613
Roorkee,29.854263,77.888
Salem,11.664325,78.146011
Shillong ,25.5788,91.8933
Shimla,31.104605,77.173424
Siliguri,26.732311,88.410286
Sonipat,28.9931,77.0151
Surat,21.1702,72.8311
Thanjavur,10.786999,79.137825
Varanasi,25.321684,82.987289
Vizag,17.690474,83.231049
Warangal,18.000055,79.588165